Research Area	Focus area	Score on focus area	Type of Literature	Score from type	Title	Year	Keywords of note	Keywords	Keywords score (0 or 3)	Geographic area	Region Score	Score total Calculation	Percentage	Quality Score Colour	Included	Excluded
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	First assessment of microplastic contamination in African mangroves	2024	Africa, first assessment, microplastics	Yes	3	Africa	3	21	100			
Impact Assessment	Specific to mangroves	5	Grey Literature	4	Fisheries livelihoods and mangrove health (FAO)	2023	FAO, fisheries, livelihoods, mangrove dependency	Yes	3	Global	3	15	71			
Policy and Governance Analysis	Broad/general	3	Peer Reviewed Academic	5	Fragmentation and overlaps in global plastic governance	2024	governance fragmentation, policy coherence	Yes	3	Global	3	14	67			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	From land to mangroves: tracing plastic pollution pathways	2024	pathways, land-based sources, tracing	Yes	3	Asia / Middle East	3	21	100			
Ecosystem Services and Linkages	Specific to mangroves	5	Peer Reviewed Academic	5	Global drivers of mangrove loss and gain	2023	drivers, loss, gain, remote sensing	Yes	3	Global	3	16	76			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Global mapping of riverine plastic emissions	2023	global mapping, emissions, modelling	Yes	3	Global	3	16	76			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Global review of plastic pollution in mangroves	2023	global review, synthesis, mangrove pollution	Yes	3	Global	3	21	100			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Intergovernmental sources (Ramsar, BRS)	4	Global Plastic Action Partnership progress report	2023	GPAP, multi-stakeholder, progress	Yes	3	Global	3	15	71			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Heavy metals and microplastics co-contamination in mangrove sediments	2024	co-contamination, heavy metals, synergistic effects	Yes	3	Asia / Middle East	3	21	100			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	How plastic pollution affects mangrove ecosystem services	2024	ecosystem services, plastic impacts, valuation	Yes	3	Asia / Middle East	3	21	100			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Grey Literature	4	INC-4 outcome document on plastics treaty	2024	INC-4, negotiations, plastics instrument	Yes	3	Global	3	15	71			
Mitigation and Clean-up Practices	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Innovative approaches to coastal clean-up technologies	2024	technology, innovation, clean-up methods	Yes	3	Global	3	16	76			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Inventory of marine debris in mangrove habitats	2022	inventory, baseline, marine debris	Yes	3	Americas	3	21	100			
Ecosystem Services and Linkages	Specific to mangroves	5	Peer Reviewed Academic	5	Interactions between mangroves and coral reefs	2023	connectivity, coral reefs, ecosystem interactions	Yes	3	Pacific / Oceania	3	16	76			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	International cooperation on marine plastic pollution	2023	international cooperation, transboundary, agreements	Yes	3	Global	3	16	76			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Investigating microplastic effects on mangrove seedling growth	2024	seedling growth, microplastic exposure, phytotoxicity	Yes	3	Asia / Middle East	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Leaching of chemical additives from plastic debris in mangroves	2023	leaching, additives, environmental fate	Yes	3	Europe	3	21	100			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Macro and microplastic pollution in Indonesian mangroves	2023	Indonesia, macro, micro, pollution levels	Yes	3	Asia / Middle East	3	21	100			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Intergovernmental sources (Ramsar, BRS)	4	Mangrove conservation under the Ramsar Convention	2018	Ramsar, wetlands, conservation policy	Yes	3	Global	3	15	71			
Ecosystem Services and Linkages	Specific to mangroves	5	Grey Literature	4	Mangrove ecosystem services and human well-being	2023	well-being, livelihoods, cultural services	Yes	3	Asia / Middle East	3	15	71			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Mangrove forests as sinks for marine plastic debris	2023	sinks, accumulation, retention, hydrodynamics	Yes	3	Asia / Middle East	3	21	100			
Mitigation and Clean-up Practices	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Mangrove restoration and debris removal: integrated approaches	2024	integrated restoration, debris removal, best practice	Yes	3	Asia / Middle East	3	21	100			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Mangrove root colonisation by plastic debris and associated biota	2023	root colonisation, biofouling, epibionts	Yes	3	Asia / Middle East	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Microplastic abundance in estuarine and coastal sediments	2022	estuary, coastal, sediment abundance	Yes	3	Europe	3	16	76			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Microplastic flux from rivers to the ocean: a global assessment	2024	flux, rivers, ocean, global assessment	Yes	3	Global	3	16	76			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Microplastic pollution in mangrove sediments of the Red Sea	2024	Red Sea, mangrove sediments, microplastics	Yes	3	Asia / Middle East	3	21	100			
Policy and Governance Analysis	Broad/general	3	Grey Literature	4	National action plans for marine litter: a comparative review	2023	national plans, marine litter, policy comparison	Yes	3	Global	3	13	62			
Ecosystem Services and Linkages	Specific to mangroves	5	Peer Reviewed Academic	5	Nature-based solutions and mangrove restoration	2024	NbS, restoration, coastal resilience	Yes	3	Global	3	16	76			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Neurotoxic effects of microplastics on mangrove crabs	2024	neurotoxicity, crabs, behavioural effects	Yes	3	Asia / Middle East	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Occurrence and distribution of POPs in mangrove sediments	2023	POPs, distribution, sediment contamination	Yes	3	Asia / Middle East	3	21	100			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Occurrence of plastic debris in mangroves along an urbanisation gradient	2024	urbanisation gradient, debris, spatial patterns	Yes	3	Americas	3	21	100			
Mitigation and Clean-up Practices	Specific to plastic/POPs in adjacent ecosystems	5	Grey Literature	4	Ocean plastics technology review	2023	technology review, solutions, ocean plastics	Yes	3	Global	3	15	71			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Persistent organic pollutants in transboundary river systems	2022	POPs, transboundary rivers, contamination	Yes	3	Global	3	16	76			
Impact Assessment	Specific to mangroves	5	Peer Reviewed Academic	5	Persistent organic pollutants in tropical coastal ecosystems	2023	tropical, coastal, POPs persistence	Yes	3	Asia / Middle East	3	16	76			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Intergovernmental sources (Ramsar, BRS)	4	Plastic pollution and the Stockholm Convention on POPs	2023	Stockholm Convention, POPs listing, plastics-POPs nexus	Yes	3	Global	3	15	71			
Ecosystem Services and Linkages	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Plastic pollution impacts on mangrove ecosystem services: a systematic review	2024	systematic review, ecosystem services, plastic impacts	Yes	3	Global	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Plastic-associated contaminants in mangrove environments	2024	plastic-associated, contaminants, environmental risk	Yes	3	Asia / Middle East	3	21	100			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Plastic debris in mangrove ecosystems: a global synthesis	2023	global synthesis, debris, mangrove ecosystems	Yes	3	Global	3	21	100			
Mitigation and Clean-up Practices	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Plastic pollution mitigation in mangroves: what works?	2024	mitigation effectiveness, what works, evidence	Yes	3	Asia / Middle East	3	21	100			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Plastic pollution threatens mangrove biodiversity	2024	biodiversity, species impacts, plastic threat	Yes	3	Asia / Middle East	3	21	100			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Plastics in river-estuary-mangrove continuum	2024	continuum, river-estuary, connectivity	Yes	3	Asia / Middle East	3	16	76			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Grey Literature	4	Policy brief on mangrove conservation and pollution	2024	policy brief, conservation, pollution nexus	Yes	3	Africa	3	15	71			
Ecosystem Services and Linkages	Specific to mangroves	5	Grey Literature	4	Protecting coastal communities through mangrove conservation	2023	coastal protection, communities, conservation	Yes	3	Asia / Middle East	3	15	71			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Quantification of plastic litter in mangrove forests	2022	quantification, litter, survey methods	Yes	3	Asia / Middle East	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Release of additives from degrading plastics in mangrove soils	2024	degradation, additive release, soil contamination	Yes	3	Americas	3	21	100			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Reproductive effects of microplastic exposure in mangrove organisms	2024	reproductive effects, microplastic exposure, ecotoxicology	Yes	3	Asia / Middle East	3	21	100			
Mitigation and Clean-up Practices	Specific to mangroves	5	Peer Reviewed Academic	5	Review of mangrove restoration techniques worldwide	2023	restoration techniques, global review, success factors	Yes	3	Global	3	16	76			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	River plastic transport models: current state and future directions	2023	transport models, modelling, future directions	Yes	3	Global	3	16	76			
Policy and Governance Analysis	Broad/general	3	Peer Reviewed Academic	5	Role of international environmental agreements in addressing marine pollution	2023	international agreements, marine pollution, effectiveness	Yes	3	Global	3	14	67			
Ecosystem Services and Linkages	Specific to mangroves	5	Peer Reviewed Academic	5	Role of mangroves in blue carbon strategies	2024	blue carbon, mangroves, climate mitigation	Yes	3	Asia / Middle East	3	16	76			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Seasonal variation of plastic debris in mangrove forests	2024	seasonal variation, temporal patterns, monsoon	Yes	3	Asia / Middle East	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Sorption of organic pollutants to microplastics in marine environments	2022	sorption, organic pollutants, vector effect	Yes	3	Europe	3	16	76			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Socio-economic impacts of plastic pollution on mangrove-dependent communities	2023	socio-economic, communities, livelihoods	Yes	3	Asia / Middle East	3	21	100			
Mitigation and Clean-up Practices	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Source reduction strategies for plastic pollution in mangrove areas	2024	source reduction, upstream, prevention	Yes	3	Asia / Middle East	3	21	100			
Transboundary Riverine Plastic & Chemical Pollution	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Sources and pathways of plastic pollution to mangroves via river systems	2024	sources, pathways, river-mangrove connection	Yes	3	Asia / Middle East	3	21	100			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Sources of plastic pollution in Indian mangroves	2023	India, sources, plastic types	Yes	3	Asia / Middle East	3	21	100			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Grey Literature	4	Status of ratification of BRS conventions	2024	BRS, ratification, implementation	Yes	3	Global	3	15	71			
Ecosystem Services and Linkages	Specific to mangroves	5	Grey Literature	4	State of the world's mangroves 2024 (Global Mangrove Alliance)	2024	state of mangroves, GMA, global assessment	Yes	3	Global	3	15	71			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Synergistic effects of microplastics and POPs in mangrove sediments	2024	synergistic effects, combined pollution, risk	Yes	3	Asia / Middle East	3	21	100			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	The ecological effects of marine debris in mangrove habitats	2023	ecological effects, marine debris, habitat impacts	Yes	3	Africa	3	21	100			
Mitigation and Clean-up Practices	Specific to mangroves	5	Grey Literature	4	The role of citizen science in mangrove conservation	2024	citizen science, monitoring, conservation engagement	Yes	3	Global	3	15	71			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Temporal trends in plastic accumulation in mangrove ecosystems	2024	temporal trends, accumulation, time series	Yes	3	Asia / Middle East	3	21	100			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	The role of rivers as conduits for plastic pollution to coastal ecosystems	2023	rivers, conduits, coastal delivery	Yes	3	Global	3	16	76			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Intergovernmental sources (Ramsar, BRS)	4	UNEA resolution 5/14: End plastic pollution	2022	UNEA, resolution, legally binding instrument	Yes	3	Global	3	15	71			
Ecosystem Services and Linkages	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Understanding plastic pollution threats to mangrove ecosystem functions	2024	ecosystem functions, threats, plastic pollution	Yes	3	Global	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Uptake of microplastics by mangrove organisms	2023	uptake, organisms, trophic transfer	Yes	3	Asia / Middle East	3	21	100			
Impact Assessment	Specific to mangroves	5	Grey Literature	4	Vulnerability assessment of mangrove ecosystems in Southeast Asia	2024	vulnerability, Southeast Asia, assessment	Yes	3	Asia / Middle East	3	15	71			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Weathering of plastics in mangrove environments	2024	weathering, degradation, environmental ageing	Yes	3	Asia / Middle East	3	21	100			
Mitigation and Clean-up Practices	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Waste management interventions for reducing plastic pollution in mangroves	2024	waste management, interventions, upstream	Yes	3	Africa	3	21	100			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Where do river plastics end up? Fate in estuaries and coastal zones	2024	fate, estuaries, coastal zones	Yes	3	Global	3	16	76			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Grey Literature	4	WWF position paper on the global plastics treaty	2024	WWF, position paper, treaty demands	Yes	3	Global	3	15	71			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Zero draft of the global instrument on plastic pollution	2023	zero draft, instrument, negotiations	Yes	3	Global	3	16	76			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Abundance and distribution of plastics in mangroves of Brazil	2023	Brazil, abundance, distribution	Yes	3	Americas	3	21	100			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Assessment of plastic litter in Sundarbans mangroves	2024	Sundarbans, litter assessment, Bangladesh	Yes	3	Asia / Middle East	3	21	100			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Baseline assessment of macroplastics in East African mangroves	2024	East Africa, baseline, macroplastics	Yes	3	Africa	3	21	100			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Changes in mangrove benthic community structure due to plastic pollution	2024	benthic community, structure, ecological change	Yes	3	Asia / Middle East	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Concentration of microplastics and associated pollutants in mangrove oysters	2024	oysters, concentration, associated pollutants	Yes	3	Americas	3	21	100			
Ecosystem Services and Linkages	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Connectivity between mangroves, seagrasses and coral reefs	2023	connectivity, seagrass, coral, landscape ecology	Yes	3	Pacific / Oceania	3	16	76			
Mitigation and Clean-up Practices	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Cost-effectiveness analysis of marine debris clean-up programmes	2024	cost-effectiveness, clean-up, economic analysis	Yes	3	Global	3	16	76			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Deposition and retention of microplastics in mangrove sediments	2023	deposition, retention, sediment dynamics	Yes	3	Asia / Middle East	3	21	100			
Policy and Governance Analysis	Specific to mangroves	5	Intergovernmental sources (Ramsar, BRS)	4	Ramsar COP14 resolution on mangrove conservation	2022	Ramsar, COP14, mangrove conservation	Yes	3	Global	3	15	71			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Effects of plastic debris on mangrove propagule establishment	2023	propagules, establishment, recruitment	Yes	3	Asia / Middle East	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Environmental fate of plastic additives in aquatic ecosystems	2023	fate, additives, aquatic ecosystems	Yes	3	Europe	3	16	76			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Floating plastics in transboundary waterways	2023	floating, transboundary, waterways	Yes	3	Global	3	16	76			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Histopathological changes in mangrove fish exposed to microplastics	2024	histopathology, fish, microplastic exposure	Yes	3	Asia / Middle East	3	21	100			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Identification of plastic polymer types in mangrove litter	2024	polymer identification, FTIR, litter analysis	Yes	3	Asia / Middle East	3	21	100			
Ecosystem Services and Linkages	Specific to mangroves	5	Peer Reviewed Academic	5	Impacts of coastal development on mangrove ecosystem services	2024	coastal development, impacts, service loss	Yes	3	Asia / Middle East	3	16	76			
Mitigation and Clean-up Practices	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	In-situ bioremediation of plastic-contaminated mangrove soils	2025	bioremediation, in-situ, soil treatment	Yes	3	Asia / Middle East	3	21	100			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Large-scale survey of plastic pollution in Australian mangroves	2024	Australia, large-scale, survey	Yes	3	Pacific / Oceania	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Mercury and microplastic interactions in mangrove sediments	2024	mercury, interactions, sediment contamination	Yes	3	Americas	3	21	100			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Modelling plastic transport from source to sink	2024	modelling, source-to-sink, transport	Yes	3	Global	3	16	76			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Grey Literature	4	OECD policy guidance on plastic pollution reduction	2024	OECD, policy guidance, reduction	Yes	3	Global	3	15	71			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Oxidative stress in mangrove organisms exposed to plastic leachates	2024	oxidative stress, leachates, biomarkers	Yes	3	Asia / Middle East	3	21	100			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Patterns and drivers of plastic accumulation in mangroves of SE Asia	2024	patterns, drivers, SE Asia	Yes	3	Asia / Middle East	3	21	100			
Ecosystem Services and Linkages	Specific to mangroves	5	Peer Reviewed Academic	5	Payments for ecosystem services in mangrove conservation	2023	PES, payments, conservation incentives	Yes	3	Asia / Middle East	3	16	76			
Mitigation and Clean-up Practices	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Preventing plastic pollution at source: policy and technological solutions	2024	prevention, source control, solutions	Yes	3	Global	3	16	76			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Plastic pollution assessment in mangroves of the Caribbean coast	2023	Caribbean, coast, pollution assessment	Yes	3	Americas	3	21	100			
